,관광지,날짜,버즈량
0,지미봉,2021-01-01,9
1,지미봉,2021-01-02,8
2,지미봉,2021-01-03,2
3,지미봉,2021-01-04,2
4,지미봉,2021-01-05,5
5,지미봉,2021-01-06,5
6,지미봉,2021-01-07,7
7,지미봉,2021-01-08,5
8,지미봉,2021-01-09,2
9,지미봉,2021-01-10,8
10,지미봉,2021-01-11,4
11,지미봉,2021-01-12,4
12,지미봉,2021-01-13,1
13,지미봉,2021-01-14,10
14,지미봉,2021-01-15,4
15,지미봉,2021-01-16,3
16,지미봉,2021-01-17,6
17,지미봉,2021-01-18,6
18,지미봉,2021-01-19,7
19,지미봉,2021-01-20,3
20,지미봉,2021-01-21,7
21,지미봉,2021-01-22,4
22,지미봉,2021-01-23,5
23,지미봉,2021-01-24,12
24,지미봉,2021-01-25,9
25,지미봉,2021-01-26,5
26,지미봉,2021-01-27,7
27,지미봉,2021-01-28,3
28,지미봉,2021-01-29,3
29,지미봉,2021-01-30,7
30,지미봉,2021-01-31,6
31,지미봉,2021-02-01,12
32,지미봉,2021-02-02,6
33,지미봉,2021-02-03,5
34,지미봉,2021-02-04,7
35,지미봉,2021-02-05,6
36,지미봉,2021-02-06,9
37,지미봉,2021-02-07,6
38,지미봉,2021-02-08,2
39,지미봉,2021-02-09,6
40,지미봉,2021-02-10,7
41,지미봉,2021-02-11,6
42,지미봉,2021-02-12,3
43,지미봉,2021-02-13,3
44,지미봉,2021-02-14,6
45,지미봉,2021-02-15,8
46,지미봉,2021-02-16,3
47,지미봉,2021-02-17,6
48,지미봉,2021-02-18,2
49,지미봉,2021-02-19,4
50,지미봉,2021-02-20,5
51,지미봉,2021-02-21,7
52,지미봉,2021-02-22,6
53,지미봉,2021-02-23,9
54,지미봉,2021-02-24,8
55,지미봉,2021-02-25,6
56,지미봉,2021-02-26,11
57,지미봉,2021-02-27,5
58,지미봉,2021-02-28,3
59,지미봉,2021-03-01,5
60,지미봉,2021-03-02,6
61,지미봉,2021-03-03,11
62,지미봉,2021-03-04,7
63,지미봉,2021-03-05,4
64,지미봉,2021-03-06,3
