,관광지,날짜,버즈량
0,천제연폭포,2021-01-01,10
1,천제연폭포,2021-01-02,10
2,천제연폭포,2021-01-03,1
3,천제연폭포,2021-01-04,14
4,천제연폭포,2021-01-05,37
5,천제연폭포,2021-01-06,12
6,천제연폭포,2021-01-07,19
7,천제연폭포,2021-01-08,14
8,천제연폭포,2021-01-09,14
9,천제연폭포,2021-01-10,18
10,천제연폭포,2021-01-11,61
11,천제연폭포,2021-01-12,10
12,천제연폭포,2021-01-13,6
13,천제연폭포,2021-01-14,10
14,천제연폭포,2021-01-15,3
15,천제연폭포,2021-01-16,5
16,천제연폭포,2021-01-17,9
17,천제연폭포,2021-01-18,11
18,천제연폭포,2021-01-19,9
19,천제연폭포,2021-01-20,6
20,천제연폭포,2021-01-21,7
21,천제연폭포,2021-01-22,6
22,천제연폭포,2021-01-23,11
23,천제연폭포,2021-01-24,9
24,천제연폭포,2021-01-25,11
25,천제연폭포,2021-01-26,7
26,천제연폭포,2021-01-27,9
27,천제연폭포,2021-01-28,9
28,천제연폭포,2021-01-29,10
29,천제연폭포,2021-01-30,1
30,천제연폭포,2021-01-31,9
31,천제연폭포,2021-02-01,12
32,천제연폭포,2021-02-02,13
33,천제연폭포,2021-02-03,9
34,천제연폭포,2021-02-04,10
35,천제연폭포,2021-02-05,12
36,천제연폭포,2021-02-06,6
37,천제연폭포,2021-02-07,12
38,천제연폭포,2021-02-08,9
39,천제연폭포,2021-02-09,8
40,천제연폭포,2021-02-10,7
41,천제연폭포,2021-02-11,8
42,천제연폭포,2021-02-12,7
43,천제연폭포,2021-02-13,10
44,천제연폭포,2021-02-14,4
45,천제연폭포,2021-02-15,6
46,천제연폭포,2021-02-16,7
47,천제연폭포,2021-02-17,6
48,천제연폭포,2021-02-18,11
49,천제연폭포,2021-02-19,9
50,천제연폭포,2021-02-20,7
51,천제연폭포,2021-02-21,7
52,천제연폭포,2021-02-22,12
53,천제연폭포,2021-02-23,8
54,천제연폭포,2021-02-24,9
55,천제연폭포,2021-02-25,58
56,천제연폭포,2021-02-26,12
57,천제연폭포,2021-02-27,6
58,천제연폭포,2021-02-28,10
59,천제연폭포,2021-03-01,9
60,천제연폭포,2021-03-02,13
61,천제연폭포,2021-03-03,8
62,천제연폭포,2021-03-04,13
63,천제연폭포,2021-03-05,5
64,천제연폭포,2021-03-06,6
65,천제연폭포,2021-03-07,13
66,천제연폭포,2021-03-08,9
67,천제연폭포,2021-03-09,11
68,천제연폭포,2021-03-10,5
69,천제연폭포,2021-03-11,8
70,천제연폭포,2021-03-12,46
71,천제연폭포,2021-03-13,9
