,관광지,날짜,버즈량
0,천지연폭포 ,2021-01-01,30
1,천지연폭포 ,2021-01-02,44
2,천지연폭포 ,2021-01-03,41
3,천지연폭포 ,2021-01-04,52
4,천지연폭포 ,2021-01-05,35
5,천지연폭포 ,2021-01-06,39
6,천지연폭포 ,2021-01-07,44
7,천지연폭포 ,2021-01-08,30
8,천지연폭포 ,2021-01-09,32
9,천지연폭포 ,2021-01-10,32
10,천지연폭포 ,2021-01-11,47
11,천지연폭포 ,2021-01-12,27
12,천지연폭포 ,2021-01-13,35
13,천지연폭포 ,2021-01-14,34
14,천지연폭포 ,2021-01-15,18
15,천지연폭포 ,2021-01-16,18
16,천지연폭포 ,2021-01-17,25
17,천지연폭포 ,2021-01-18,19
18,천지연폭포 ,2021-01-19,25
19,천지연폭포 ,2021-01-20,33
20,천지연폭포 ,2021-01-21,31
21,천지연폭포 ,2021-01-22,25
22,천지연폭포 ,2021-01-23,15
23,천지연폭포 ,2021-01-24,18
24,천지연폭포 ,2021-01-25,25
25,천지연폭포 ,2021-01-26,22
26,천지연폭포 ,2021-01-27,22
27,천지연폭포 ,2021-01-28,34
28,천지연폭포 ,2021-01-29,34
29,천지연폭포 ,2021-01-30,17
30,천지연폭포 ,2021-01-31,24
31,천지연폭포 ,2021-02-01,39
32,천지연폭포 ,2021-02-02,32
33,천지연폭포 ,2021-02-03,34
34,천지연폭포 ,2021-02-04,39
35,천지연폭포 ,2021-02-05,43
36,천지연폭포 ,2021-02-06,23
37,천지연폭포 ,2021-02-07,32
38,천지연폭포 ,2021-02-08,32
39,천지연폭포 ,2021-02-09,39
40,천지연폭포 ,2021-02-10,30
41,천지연폭포 ,2021-02-11,32
42,천지연폭포 ,2021-02-12,22
43,천지연폭포 ,2021-02-13,25
44,천지연폭포 ,2021-02-14,28
45,천지연폭포 ,2021-02-15,31
46,천지연폭포 ,2021-02-16,24
47,천지연폭포 ,2021-02-17,27
48,천지연폭포 ,2021-02-18,33
49,천지연폭포 ,2021-02-19,22
50,천지연폭포 ,2021-02-20,19
51,천지연폭포 ,2021-02-21,21
52,천지연폭포 ,2021-02-22,43
53,천지연폭포 ,2021-02-23,25
54,천지연폭포 ,2021-02-24,38
55,천지연폭포 ,2021-02-25,32
56,천지연폭포 ,2021-02-26,30
57,천지연폭포 ,2021-02-27,30
58,천지연폭포 ,2021-02-28,24
59,천지연폭포 ,2021-03-01,26
60,천지연폭포 ,2021-03-02,43
61,천지연폭포 ,2021-03-03,35
62,천지연폭포 ,2021-03-04,31
63,천지연폭포 ,2021-03-05,21
64,천지연폭포 ,2021-03-06,30
65,천지연폭포 ,2021-03-07,29
66,천지연폭포 ,2021-03-08,35
67,천지연폭포 ,2021-03-09,24
68,천지연폭포 ,2021-03-10,27
69,천지연폭포 ,2021-03-11,30
70,천지연폭포 ,2021-03-12,34
71,천지연폭포 ,2021-03-13,24
72,천지연폭포 ,2021-03-14,21
73,천지연폭포 ,2021-03-15,33
74,천지연폭포 ,2021-03-16,34
75,천지연폭포 ,2021-03-17,36
76,천지연폭포 ,2021-03-18,44
77,천지연폭포 ,2021-03-19,77
78,천지연폭포 ,2021-03-20,33
79,천지연폭포 ,2021-03-21,90
80,천지연폭포 ,2021-03-22,76
81,천지연폭포 ,2021-03-23,67
82,천지연폭포 ,2021-03-24,84
83,천지연폭포 ,2021-03-25,55
84,천지연폭포 ,2021-03-26,58
85,천지연폭포 ,2021-03-27,52
86,천지연폭포 ,2021-03-28,27
87,천지연폭포 ,2021-03-29,34
88,천지연폭포 ,2021-03-30,35
89,천지연폭포 ,2021-03-31,18
90,천지연폭포 ,2021-04-01,48
91,천지연폭포 ,2021-04-02,30
92,천지연폭포 ,2021-04-03,27
93,천지연폭포 ,2021-04-04,34
94,천지연폭포 ,2021-04-05,32
95,천지연폭포 ,2021-04-06,33
96,천지연폭포 ,2021-04-07,60
97,천지연폭포 ,2021-04-08,57
98,천지연폭포 ,2021-04-09,55
99,천지연폭포 ,2021-04-10,62
100,천지연폭포 ,2021-04-11,43
101,천지연폭포 ,2021-04-12,78
102,천지연폭포 ,2021-04-13,91
103,천지연폭포 ,2021-04-14,63
104,천지연폭포 ,2021-04-15,64
105,천지연폭포 ,2021-04-16,49
106,천지연폭포 ,2021-04-17,64
107,천지연폭포 ,2021-04-18,64
108,천지연폭포 ,2021-04-19,102
109,천지연폭포 ,2021-04-20,57
110,천지연폭포 ,2021-04-21,129
111,천지연폭포 ,2021-04-22,89
112,천지연폭포 ,2021-04-23,101
113,천지연폭포 ,2021-04-24,96
114,천지연폭포 ,2021-04-25,115
115,천지연폭포 ,2021-04-26,74
116,천지연폭포 ,2021-04-27,31
117,천지연폭포 ,2021-04-28,41
118,천지연폭포 ,2021-04-29,42
119,천지연폭포 ,2021-04-30,57
120,천지연폭포 ,2021-05-01,40
121,천지연폭포 ,2021-05-02,43
122,천지연폭포 ,2021-05-03,50
123,천지연폭포 ,2021-05-04,52
124,천지연폭포 ,2021-05-05,45
125,천지연폭포 ,2021-05-06,45
126,천지연폭포 ,2021-05-07,50
127,천지연폭포 ,2021-05-08,28
128,천지연폭포 ,2021-05-09,30
129,천지연폭포 ,2021-05-10,35
130,천지연폭포 ,2021-05-11,49
