,관광지,날짜,버즈량
0,초콜릿박물관,2021-01-01,3
1,초콜릿박물관,2021-01-02,4
2,초콜릿박물관,2021-01-03,4
3,초콜릿박물관,2021-01-04,2
4,초콜릿박물관,2021-01-05,2
5,초콜릿박물관,2021-01-06,1
6,초콜릿박물관,2021-01-07,3
7,초콜릿박물관,2021-01-08,1
8,초콜릿박물관,2021-01-09,2
9,초콜릿박물관,2021-01-10,4
10,초콜릿박물관,2021-01-11,3
11,초콜릿박물관,2021-01-12,0
12,초콜릿박물관,2021-01-13,2
13,초콜릿박물관,2021-01-14,3
14,초콜릿박물관,2021-01-15,3
15,초콜릿박물관,2021-01-16,1
16,초콜릿박물관,2021-01-17,2
17,초콜릿박물관,2021-01-18,2
18,초콜릿박물관,2021-01-19,1
19,초콜릿박물관,2021-01-20,1
20,초콜릿박물관,2021-01-21,2
21,초콜릿박물관,2021-01-22,5
22,초콜릿박물관,2021-01-23,0
23,초콜릿박물관,2021-01-24,2
24,초콜릿박물관,2021-01-25,4
25,초콜릿박물관,2021-01-26,3
26,초콜릿박물관,2021-01-27,2
27,초콜릿박물관,2021-01-28,2
28,초콜릿박물관,2021-01-29,1
29,초콜릿박물관,2021-01-30,1
30,초콜릿박물관,2021-01-31,0
31,초콜릿박물관,2021-02-01,2
32,초콜릿박물관,2021-02-02,0
33,초콜릿박물관,2021-02-03,2
34,초콜릿박물관,2021-02-04,1
35,초콜릿박물관,2021-02-05,3
36,초콜릿박물관,2021-02-06,5
37,초콜릿박물관,2021-02-07,2
38,초콜릿박물관,2021-02-08,1
39,초콜릿박물관,2021-02-09,1
40,초콜릿박물관,2021-02-10,2
41,초콜릿박물관,2021-02-11,0
42,초콜릿박물관,2021-02-12,2
43,초콜릿박물관,2021-02-13,1
44,초콜릿박물관,2021-02-14,4
45,초콜릿박물관,2021-02-15,2
46,초콜릿박물관,2021-02-16,2
47,초콜릿박물관,2021-02-17,2
48,초콜릿박물관,2021-02-18,0
49,초콜릿박물관,2021-02-19,0
50,초콜릿박물관,2021-02-20,3
51,초콜릿박물관,2021-02-21,3
52,초콜릿박물관,2021-02-22,0
53,초콜릿박물관,2021-02-23,3
54,초콜릿박물관,2021-02-24,2
55,초콜릿박물관,2021-02-25,0
56,초콜릿박물관,2021-02-26,1
57,초콜릿박물관,2021-02-27,1
58,초콜릿박물관,2021-02-28,1
59,초콜릿박물관,2021-03-01,2
60,초콜릿박물관,2021-03-02,0
61,초콜릿박물관,2021-03-03,0
62,초콜릿박물관,2021-03-04,1
63,초콜릿박물관,2021-03-05,0
64,초콜릿박물관,2021-03-06,2
65,초콜릿박물관,2021-03-07,1
66,초콜릿박물관,2021-03-08,2
67,초콜릿박물관,2021-03-09,5
68,초콜릿박물관,2021-03-10,3
