,관광지,날짜,버즈량
0,테디베어뮤지엄제주,2021-01-01,3
1,테디베어뮤지엄제주,2021-01-02,2
2,테디베어뮤지엄제주,2021-01-03,3
3,테디베어뮤지엄제주,2021-01-04,3
4,테디베어뮤지엄제주,2021-01-05,6
5,테디베어뮤지엄제주,2021-01-06,1
6,테디베어뮤지엄제주,2021-01-07,6
7,테디베어뮤지엄제주,2021-01-08,2
8,테디베어뮤지엄제주,2021-01-09,2
9,테디베어뮤지엄제주,2021-01-10,5
10,테디베어뮤지엄제주,2021-01-11,2
11,테디베어뮤지엄제주,2021-01-12,3
12,테디베어뮤지엄제주,2021-01-13,3
13,테디베어뮤지엄제주,2021-01-14,1
14,테디베어뮤지엄제주,2021-01-15,3
15,테디베어뮤지엄제주,2021-01-16,2
16,테디베어뮤지엄제주,2021-01-17,5
17,테디베어뮤지엄제주,2021-01-18,5
18,테디베어뮤지엄제주,2021-01-19,4
19,테디베어뮤지엄제주,2021-01-20,3
20,테디베어뮤지엄제주,2021-01-21,5
21,테디베어뮤지엄제주,2021-01-22,4
22,테디베어뮤지엄제주,2021-01-23,0
23,테디베어뮤지엄제주,2021-01-24,3
24,테디베어뮤지엄제주,2021-01-25,3
25,테디베어뮤지엄제주,2021-01-26,1
26,테디베어뮤지엄제주,2021-01-27,4
27,테디베어뮤지엄제주,2021-01-28,5
28,테디베어뮤지엄제주,2021-01-29,7
29,테디베어뮤지엄제주,2021-01-30,2
30,테디베어뮤지엄제주,2021-01-31,1
31,테디베어뮤지엄제주,2021-02-01,2
32,테디베어뮤지엄제주,2021-02-02,1
33,테디베어뮤지엄제주,2021-02-03,2
34,테디베어뮤지엄제주,2021-02-04,3
35,테디베어뮤지엄제주,2021-02-05,4
36,테디베어뮤지엄제주,2021-02-06,1
37,테디베어뮤지엄제주,2021-02-07,3
38,테디베어뮤지엄제주,2021-02-08,3
39,테디베어뮤지엄제주,2021-02-09,2
40,테디베어뮤지엄제주,2021-02-10,6
41,테디베어뮤지엄제주,2021-02-11,3
42,테디베어뮤지엄제주,2021-02-12,4
43,테디베어뮤지엄제주,2021-02-13,2
44,테디베어뮤지엄제주,2021-02-14,3
45,테디베어뮤지엄제주,2021-02-15,2
46,테디베어뮤지엄제주,2021-02-16,4
47,테디베어뮤지엄제주,2021-02-17,7
48,테디베어뮤지엄제주,2021-02-18,2
49,테디베어뮤지엄제주,2021-02-19,1
50,테디베어뮤지엄제주,2021-02-20,3
51,테디베어뮤지엄제주,2021-02-21,2
52,테디베어뮤지엄제주,2021-02-22,1
53,테디베어뮤지엄제주,2021-02-23,6
54,테디베어뮤지엄제주,2021-02-24,4
55,테디베어뮤지엄제주,2021-02-25,8
56,테디베어뮤지엄제주,2021-02-26,4
57,테디베어뮤지엄제주,2021-02-27,2
58,테디베어뮤지엄제주,2021-02-28,3
59,테디베어뮤지엄제주,2021-03-01,1
60,테디베어뮤지엄제주,2021-03-02,2
61,테디베어뮤지엄제주,2021-03-03,4
62,테디베어뮤지엄제주,2021-03-04,4
63,테디베어뮤지엄제주,2021-03-05,7
64,테디베어뮤지엄제주,2021-03-06,2
65,테디베어뮤지엄제주,2021-03-07,1
66,테디베어뮤지엄제주,2021-03-08,6
67,테디베어뮤지엄제주,2021-03-09,5
68,테디베어뮤지엄제주,2021-03-10,1
69,테디베어뮤지엄제주,2021-03-11,4
70,테디베어뮤지엄제주,2021-03-12,5
71,테디베어뮤지엄제주,2021-03-13,5
72,테디베어뮤지엄제주,2021-03-14,2
73,테디베어뮤지엄제주,2021-03-15,2
74,테디베어뮤지엄제주,2021-03-16,4
75,테디베어뮤지엄제주,2021-03-17,3
76,테디베어뮤지엄제주,2021-03-18,3
77,테디베어뮤지엄제주,2021-03-19,4
78,테디베어뮤지엄제주,2021-03-20,0
79,테디베어뮤지엄제주,2021-03-21,3
80,테디베어뮤지엄제주,2021-03-22,4
81,테디베어뮤지엄제주,2021-03-23,3
82,테디베어뮤지엄제주,2021-03-24,7
83,테디베어뮤지엄제주,2021-03-25,5
84,테디베어뮤지엄제주,2021-03-26,9
85,테디베어뮤지엄제주,2021-03-27,8
86,테디베어뮤지엄제주,2021-03-28,4
87,테디베어뮤지엄제주,2021-03-29,4
88,테디베어뮤지엄제주,2021-03-30,2
89,테디베어뮤지엄제주,2021-03-31,5
90,테디베어뮤지엄제주,2021-04-01,9
91,테디베어뮤지엄제주,2021-04-02,4
92,테디베어뮤지엄제주,2021-04-03,4
93,테디베어뮤지엄제주,2021-04-04,4
94,테디베어뮤지엄제주,2021-04-05,3
95,테디베어뮤지엄제주,2021-04-06,7
96,테디베어뮤지엄제주,2021-04-07,4
97,테디베어뮤지엄제주,2021-04-08,8
98,테디베어뮤지엄제주,2021-04-09,4
99,테디베어뮤지엄제주,2021-04-10,5
100,테디베어뮤지엄제주,2021-04-11,4
101,테디베어뮤지엄제주,2021-04-12,7
102,테디베어뮤지엄제주,2021-04-13,6
103,테디베어뮤지엄제주,2021-04-14,4
104,테디베어뮤지엄제주,2021-04-15,1
105,테디베어뮤지엄제주,2021-04-16,3
106,테디베어뮤지엄제주,2021-04-17,9
107,테디베어뮤지엄제주,2021-04-18,7
108,테디베어뮤지엄제주,2021-04-19,6
109,테디베어뮤지엄제주,2021-04-20,5
110,테디베어뮤지엄제주,2021-04-21,5
111,테디베어뮤지엄제주,2021-04-22,7
112,테디베어뮤지엄제주,2021-04-23,3
113,테디베어뮤지엄제주,2021-04-24,2
114,테디베어뮤지엄제주,2021-04-25,7
115,테디베어뮤지엄제주,2021-04-26,9
116,테디베어뮤지엄제주,2021-04-27,5
117,테디베어뮤지엄제주,2021-04-28,6
118,테디베어뮤지엄제주,2021-04-29,5
119,테디베어뮤지엄제주,2021-04-30,12
120,테디베어뮤지엄제주,2021-05-01,1
121,테디베어뮤지엄제주,2021-05-02,11
122,테디베어뮤지엄제주,2021-05-03,7
123,테디베어뮤지엄제주,2021-05-04,8
