,관광지,날짜,버즈량
0,피규어뮤지엄제주,2021-01-01,3
1,피규어뮤지엄제주,2021-01-02,2
2,피규어뮤지엄제주,2021-01-03,0
3,피규어뮤지엄제주,2021-01-04,3
4,피규어뮤지엄제주,2021-01-05,11
5,피규어뮤지엄제주,2021-01-06,2
6,피규어뮤지엄제주,2021-01-07,1
7,피규어뮤지엄제주,2021-01-08,1
8,피규어뮤지엄제주,2021-01-09,2
9,피규어뮤지엄제주,2021-01-10,4
10,피규어뮤지엄제주,2021-01-11,3
11,피규어뮤지엄제주,2021-01-12,3
12,피규어뮤지엄제주,2021-01-13,3
13,피규어뮤지엄제주,2021-01-14,2
14,피규어뮤지엄제주,2021-01-15,1
15,피규어뮤지엄제주,2021-01-16,1
16,피규어뮤지엄제주,2021-01-17,2
17,피규어뮤지엄제주,2021-01-18,2
18,피규어뮤지엄제주,2021-01-19,4
19,피규어뮤지엄제주,2021-01-20,4
20,피규어뮤지엄제주,2021-01-21,5
21,피규어뮤지엄제주,2021-01-22,1
22,피규어뮤지엄제주,2021-01-23,0
23,피규어뮤지엄제주,2021-01-24,0
24,피규어뮤지엄제주,2021-01-25,1
25,피규어뮤지엄제주,2021-01-26,0
26,피규어뮤지엄제주,2021-01-27,1
27,피규어뮤지엄제주,2021-01-28,4
28,피규어뮤지엄제주,2021-01-29,4
29,피규어뮤지엄제주,2021-01-30,1
30,피규어뮤지엄제주,2021-01-31,3
31,피규어뮤지엄제주,2021-02-01,2
32,피규어뮤지엄제주,2021-02-02,2
33,피규어뮤지엄제주,2021-02-03,5
34,피규어뮤지엄제주,2021-02-04,0
35,피규어뮤지엄제주,2021-02-05,1
36,피규어뮤지엄제주,2021-02-06,0
37,피규어뮤지엄제주,2021-02-07,3
38,피규어뮤지엄제주,2021-02-08,0
39,피규어뮤지엄제주,2021-02-09,3
40,피규어뮤지엄제주,2021-02-10,1
41,피규어뮤지엄제주,2021-02-11,4
42,피규어뮤지엄제주,2021-02-12,1
43,피규어뮤지엄제주,2021-02-13,0
44,피규어뮤지엄제주,2021-02-14,3
45,피규어뮤지엄제주,2021-02-15,2
46,피규어뮤지엄제주,2021-02-16,0
47,피규어뮤지엄제주,2021-02-17,0
48,피규어뮤지엄제주,2021-02-18,2
49,피규어뮤지엄제주,2021-02-19,4
50,피규어뮤지엄제주,2021-02-20,4
51,피규어뮤지엄제주,2021-02-21,3
52,피규어뮤지엄제주,2021-02-22,2
53,피규어뮤지엄제주,2021-02-23,3
54,피규어뮤지엄제주,2021-02-24,3
55,피규어뮤지엄제주,2021-02-25,3
56,피규어뮤지엄제주,2021-02-26,1
57,피규어뮤지엄제주,2021-02-27,5
58,피규어뮤지엄제주,2021-02-28,1
59,피규어뮤지엄제주,2021-03-01,2
60,피규어뮤지엄제주,2021-03-02,2
61,피규어뮤지엄제주,2021-03-03,6
62,피규어뮤지엄제주,2021-03-04,0
63,피규어뮤지엄제주,2021-03-05,1
64,피규어뮤지엄제주,2021-03-06,1
65,피규어뮤지엄제주,2021-03-07,3
66,피규어뮤지엄제주,2021-03-08,3
67,피규어뮤지엄제주,2021-03-09,1
68,피규어뮤지엄제주,2021-03-10,4
69,피규어뮤지엄제주,2021-03-11,1
70,피규어뮤지엄제주,2021-03-12,1
71,피규어뮤지엄제주,2021-03-13,1
72,피규어뮤지엄제주,2021-03-14,0
73,피규어뮤지엄제주,2021-03-15,6
74,피규어뮤지엄제주,2021-03-16,2
75,피규어뮤지엄제주,2021-03-17,3
76,피규어뮤지엄제주,2021-03-18,1
77,피규어뮤지엄제주,2021-03-19,4
78,피규어뮤지엄제주,2021-03-20,1
79,피규어뮤지엄제주,2021-03-21,1
80,피규어뮤지엄제주,2021-03-22,3
81,피규어뮤지엄제주,2021-03-23,1
82,피규어뮤지엄제주,2021-03-24,1
83,피규어뮤지엄제주,2021-03-25,4
84,피규어뮤지엄제주,2021-03-26,3
85,피규어뮤지엄제주,2021-03-27,0
86,피규어뮤지엄제주,2021-03-28,0
87,피규어뮤지엄제주,2021-03-29,4
88,피규어뮤지엄제주,2021-03-30,4
89,피규어뮤지엄제주,2021-03-31,2
90,피규어뮤지엄제주,2021-04-01,2
91,피규어뮤지엄제주,2021-04-02,1
92,피규어뮤지엄제주,2021-04-03,2
93,피규어뮤지엄제주,2021-04-04,0
94,피규어뮤지엄제주,2021-04-05,3
95,피규어뮤지엄제주,2021-04-06,1
96,피규어뮤지엄제주,2021-04-07,4
97,피규어뮤지엄제주,2021-04-08,2
98,피규어뮤지엄제주,2021-04-09,1
99,피규어뮤지엄제주,2021-04-10,1
100,피규어뮤지엄제주,2021-04-11,1
101,피규어뮤지엄제주,2021-04-12,2
102,피규어뮤지엄제주,2021-04-13,2
103,피규어뮤지엄제주,2021-04-14,5
104,피규어뮤지엄제주,2021-04-15,7
105,피규어뮤지엄제주,2021-04-16,4
106,피규어뮤지엄제주,2021-04-17,0
107,피규어뮤지엄제주,2021-04-18,4
108,피규어뮤지엄제주,2021-04-19,3
109,피규어뮤지엄제주,2021-04-20,0
110,피규어뮤지엄제주,2021-04-21,6
111,피규어뮤지엄제주,2021-04-22,1
112,피규어뮤지엄제주,2021-04-23,7
113,피규어뮤지엄제주,2021-04-24,6
114,피규어뮤지엄제주,2021-04-25,3
115,피규어뮤지엄제주,2021-04-26,1
116,피규어뮤지엄제주,2021-04-27,1
117,피규어뮤지엄제주,2021-04-28,4
118,피규어뮤지엄제주,2021-04-29,5
119,피규어뮤지엄제주,2021-04-30,3
120,피규어뮤지엄제주,2021-05-01,5
121,피규어뮤지엄제주,2021-05-02,1
122,피규어뮤지엄제주,2021-05-03,6
123,피규어뮤지엄제주,2021-05-04,5
124,피규어뮤지엄제주,2021-05-05,0
125,피규어뮤지엄제주,2021-05-06,1
126,피규어뮤지엄제주,2021-05-07,5
127,피규어뮤지엄제주,2021-05-08,1
128,피규어뮤지엄제주,2021-05-09,3
129,피규어뮤지엄제주,2021-05-10,2
130,피규어뮤지엄제주,2021-05-11,3
131,피규어뮤지엄제주,2021-05-12,7
132,피규어뮤지엄제주,2021-05-13,1
133,피규어뮤지엄제주,2021-05-14,1
134,피규어뮤지엄제주,2021-05-15,3
135,피규어뮤지엄제주,2021-05-16,2
136,피규어뮤지엄제주,2021-05-17,3
137,피규어뮤지엄제주,2021-05-18,1
138,피규어뮤지엄제주,2021-05-19,3
139,피규어뮤지엄제주,2021-05-20,5
140,피규어뮤지엄제주,2021-05-21,2
141,피규어뮤지엄제주,2021-05-22,0
142,피규어뮤지엄제주,2021-05-23,1
143,피규어뮤지엄제주,2021-05-24,2
144,피규어뮤지엄제주,2021-05-25,3
145,피규어뮤지엄제주,2021-05-26,1
146,피규어뮤지엄제주,2021-05-27,5
147,피규어뮤지엄제주,2021-05-28,3
148,피규어뮤지엄제주,2021-05-29,3
149,피규어뮤지엄제주,2021-05-30,1
150,피규어뮤지엄제주,2021-05-31,3
151,피규어뮤지엄제주,2021-06-01,1
152,피규어뮤지엄제주,2021-06-02,1
153,피규어뮤지엄제주,2021-06-03,1
154,피규어뮤지엄제주,2021-06-04,2
155,피규어뮤지엄제주,2021-06-05,0
156,피규어뮤지엄제주,2021-06-06,2
157,피규어뮤지엄제주,2021-06-07,2
158,피규어뮤지엄제주,2021-06-08,1
159,피규어뮤지엄제주,2021-06-09,5
160,피규어뮤지엄제주,2021-06-10,5
161,피규어뮤지엄제주,2021-06-11,4
162,피규어뮤지엄제주,2021-06-12,1
163,피규어뮤지엄제주,2021-06-13,2
164,피규어뮤지엄제주,2021-06-14,8
165,피규어뮤지엄제주,2021-06-15,1
166,피규어뮤지엄제주,2021-06-16,2
167,피규어뮤지엄제주,2021-06-17,4
168,피규어뮤지엄제주,2021-06-18,2
169,피규어뮤지엄제주,2021-06-19,1
170,피규어뮤지엄제주,2021-06-20,2
171,피규어뮤지엄제주,2021-06-21,2
172,피규어뮤지엄제주,2021-06-22,2
173,피규어뮤지엄제주,2021-06-23,3
174,피규어뮤지엄제주,2021-06-24,5
175,피규어뮤지엄제주,2021-06-25,5
176,피규어뮤지엄제주,2021-06-26,1
177,피규어뮤지엄제주,2021-06-27,0
178,피규어뮤지엄제주,2021-06-28,4
179,피규어뮤지엄제주,2021-06-29,4
180,피규어뮤지엄제주,2021-06-30,2
181,피규어뮤지엄제주,2021-07-01,3
182,피규어뮤지엄제주,2021-07-02,6
183,피규어뮤지엄제주,2021-07-03,6
184,피규어뮤지엄제주,2021-07-04,3
