,관광지,날짜,버즈량
0,한라산,2021-01-01,352
1,한라산,2021-01-02,411
2,한라산,2021-01-03,377
3,한라산,2021-01-04,458
4,한라산,2021-01-05,435
5,한라산,2021-01-06,419
6,한라산,2021-01-07,425
7,한라산,2021-01-08,435
8,한라산,2021-01-09,377
9,한라산,2021-01-10,456
10,한라산,2021-01-11,463
11,한라산,2021-01-12,390
12,한라산,2021-01-13,492
13,한라산,2021-01-14,443
14,한라산,2021-01-15,404
15,한라산,2021-01-16,323
16,한라산,2021-01-17,333
17,한라산,2021-01-18,402
18,한라산,2021-01-19,418
19,한라산,2021-01-20,487
20,한라산,2021-01-21,407
21,한라산,2021-01-22,390
22,한라산,2021-01-23,339
23,한라산,2021-01-24,376
24,한라산,2021-01-25,424
25,한라산,2021-01-26,376
26,한라산,2021-01-27,418
27,한라산,2021-01-28,400
28,한라산,2021-01-29,364
29,한라산,2021-01-30,279
30,한라산,2021-01-31,347
31,한라산,2021-02-01,417
32,한라산,2021-02-02,395
33,한라산,2021-02-03,370
34,한라산,2021-02-04,360
35,한라산,2021-02-05,408
36,한라산,2021-02-06,337
37,한라산,2021-02-07,354
38,한라산,2021-02-08,393
39,한라산,2021-02-09,404
40,한라산,2021-02-10,333
41,한라산,2021-02-11,301
42,한라산,2021-02-12,256
43,한라산,2021-02-13,324
44,한라산,2021-02-14,325
45,한라산,2021-02-15,391
46,한라산,2021-02-16,339
47,한라산,2021-02-17,377
48,한라산,2021-02-18,385
49,한라산,2021-02-19,393
50,한라산,2021-02-20,335
51,한라산,2021-02-21,358
52,한라산,2021-02-22,500
53,한라산,2021-02-23,454
54,한라산,2021-02-24,408
55,한라산,2021-02-25,387
56,한라산,2021-02-26,392
57,한라산,2021-02-27,319
58,한라산,2021-02-28,341
59,한라산,2021-03-01,408
60,한라산,2021-03-02,430
61,한라산,2021-03-03,378
62,한라산,2021-03-04,375
63,한라산,2021-03-05,401
64,한라산,2021-03-06,340
65,한라산,2021-03-07,364
66,한라산,2021-03-08,440
67,한라산,2021-03-09,387
68,한라산,2021-03-10,414
69,한라산,2021-03-11,394
70,한라산,2021-03-12,362
