,관광지,날짜,버즈량
0,한라생태숲,2021-01-01,1
1,한라생태숲,2021-01-02,0
2,한라생태숲,2021-01-03,0
3,한라생태숲,2021-01-04,5
4,한라생태숲,2021-01-05,3
5,한라생태숲,2021-01-06,1
6,한라생태숲,2021-01-07,1
7,한라생태숲,2021-01-08,1
8,한라생태숲,2021-01-09,2
9,한라생태숲,2021-01-10,1
10,한라생태숲,2021-01-11,1
11,한라생태숲,2021-01-12,3
12,한라생태숲,2021-01-13,6
13,한라생태숲,2021-01-14,2
14,한라생태숲,2021-01-15,2
15,한라생태숲,2021-01-16,2
16,한라생태숲,2021-01-17,2
17,한라생태숲,2021-01-18,2
18,한라생태숲,2021-01-19,2
19,한라생태숲,2021-01-20,4
20,한라생태숲,2021-01-21,4
21,한라생태숲,2021-01-22,2
22,한라생태숲,2021-01-23,3
23,한라생태숲,2021-01-24,2
24,한라생태숲,2021-01-25,0
25,한라생태숲,2021-01-26,2
26,한라생태숲,2021-01-27,2
27,한라생태숲,2021-01-28,1
28,한라생태숲,2021-01-29,1
29,한라생태숲,2021-01-30,1
30,한라생태숲,2021-01-31,1
31,한라생태숲,2021-02-01,3
32,한라생태숲,2021-02-02,7
33,한라생태숲,2021-02-03,3
34,한라생태숲,2021-02-04,2
35,한라생태숲,2021-02-05,1
36,한라생태숲,2021-02-06,1
37,한라생태숲,2021-02-07,1
38,한라생태숲,2021-02-08,1
39,한라생태숲,2021-02-09,2
40,한라생태숲,2021-02-10,0
41,한라생태숲,2021-02-11,2
42,한라생태숲,2021-02-12,5
43,한라생태숲,2021-02-13,1
44,한라생태숲,2021-02-14,2
45,한라생태숲,2021-02-15,1
46,한라생태숲,2021-02-16,4
47,한라생태숲,2021-02-17,6
48,한라생태숲,2021-02-18,4
49,한라생태숲,2021-02-19,1
50,한라생태숲,2021-02-20,2
51,한라생태숲,2021-02-21,3
52,한라생태숲,2021-02-22,0
53,한라생태숲,2021-02-23,4
54,한라생태숲,2021-02-24,6
55,한라생태숲,2021-02-25,3
56,한라생태숲,2021-02-26,5
57,한라생태숲,2021-02-27,3
58,한라생태숲,2021-02-28,2
59,한라생태숲,2021-03-01,6
60,한라생태숲,2021-03-02,1
61,한라생태숲,2021-03-03,3
62,한라생태숲,2021-03-04,6
63,한라생태숲,2021-03-05,5
64,한라생태숲,2021-03-06,4
65,한라생태숲,2021-03-07,3
66,한라생태숲,2021-03-08,2
67,한라생태숲,2021-03-09,5
68,한라생태숲,2021-03-10,2
69,한라생태숲,2021-03-11,5
70,한라생태숲,2021-03-12,3
71,한라생태숲,2021-03-13,2
72,한라생태숲,2021-03-14,3
73,한라생태숲,2021-03-15,4
74,한라생태숲,2021-03-16,2
75,한라생태숲,2021-03-17,2
76,한라생태숲,2021-03-18,9
77,한라생태숲,2021-03-19,5
78,한라생태숲,2021-03-20,2
79,한라생태숲,2021-03-21,5
80,한라생태숲,2021-03-22,4
81,한라생태숲,2021-03-23,4
82,한라생태숲,2021-03-24,5
83,한라생태숲,2021-03-25,4
84,한라생태숲,2021-03-26,3
85,한라생태숲,2021-03-27,3
86,한라생태숲,2021-03-28,3
87,한라생태숲,2021-03-29,3
88,한라생태숲,2021-03-30,4
89,한라생태숲,2021-03-31,4
90,한라생태숲,2021-04-01,8
91,한라생태숲,2021-04-02,2
92,한라생태숲,2021-04-03,7
93,한라생태숲,2021-04-04,1
94,한라생태숲,2021-04-05,2
95,한라생태숲,2021-04-06,6
96,한라생태숲,2021-04-07,2
97,한라생태숲,2021-04-08,3
98,한라생태숲,2021-04-09,3
99,한라생태숲,2021-04-10,8
100,한라생태숲,2021-04-11,2
101,한라생태숲,2021-04-12,5
102,한라생태숲,2021-04-13,6
103,한라생태숲,2021-04-14,6
104,한라생태숲,2021-04-15,8
105,한라생태숲,2021-04-16,9
