,관광지,날짜,버즈량
0,한라수목원,2021-01-01,15
1,한라수목원,2021-01-02,13
2,한라수목원,2021-01-03,9
3,한라수목원,2021-01-04,11
4,한라수목원,2021-01-05,15
5,한라수목원,2021-01-06,7
6,한라수목원,2021-01-07,10
7,한라수목원,2021-01-08,19
8,한라수목원,2021-01-09,5
9,한라수목원,2021-01-10,13
10,한라수목원,2021-01-11,9
11,한라수목원,2021-01-12,9
12,한라수목원,2021-01-13,4
13,한라수목원,2021-01-14,14
14,한라수목원,2021-01-15,12
15,한라수목원,2021-01-16,7
16,한라수목원,2021-01-17,10
17,한라수목원,2021-01-18,12
18,한라수목원,2021-01-19,6
19,한라수목원,2021-01-20,47
20,한라수목원,2021-01-21,13
21,한라수목원,2021-01-22,10
22,한라수목원,2021-01-23,6
23,한라수목원,2021-01-24,5
24,한라수목원,2021-01-25,6
25,한라수목원,2021-01-26,10
26,한라수목원,2021-01-27,5
27,한라수목원,2021-01-28,6
28,한라수목원,2021-01-29,12
29,한라수목원,2021-01-30,11
30,한라수목원,2021-01-31,13
31,한라수목원,2021-02-01,9
32,한라수목원,2021-02-02,11
33,한라수목원,2021-02-03,11
34,한라수목원,2021-02-04,6
35,한라수목원,2021-02-05,8
36,한라수목원,2021-02-06,9
37,한라수목원,2021-02-07,11
38,한라수목원,2021-02-08,7
39,한라수목원,2021-02-09,12
40,한라수목원,2021-02-10,13
41,한라수목원,2021-02-11,6
42,한라수목원,2021-02-12,9
43,한라수목원,2021-02-13,6
44,한라수목원,2021-02-14,16
45,한라수목원,2021-02-15,13
46,한라수목원,2021-02-16,14
47,한라수목원,2021-02-17,16
48,한라수목원,2021-02-18,11
49,한라수목원,2021-02-19,18
50,한라수목원,2021-02-20,9
51,한라수목원,2021-02-21,8
52,한라수목원,2021-02-22,14
53,한라수목원,2021-02-23,14
54,한라수목원,2021-02-24,22
55,한라수목원,2021-02-25,4
56,한라수목원,2021-02-26,9
57,한라수목원,2021-02-27,11
58,한라수목원,2021-02-28,13
59,한라수목원,2021-03-01,18
60,한라수목원,2021-03-02,9
61,한라수목원,2021-03-03,10
62,한라수목원,2021-03-04,13
63,한라수목원,2021-03-05,18
64,한라수목원,2021-03-06,9
