,관광지,날짜,버즈량
0,헬로키티아일랜드,2021-01-01,5
1,헬로키티아일랜드,2021-01-02,1
2,헬로키티아일랜드,2021-01-03,2
3,헬로키티아일랜드,2021-01-04,0
4,헬로키티아일랜드,2021-01-05,18
5,헬로키티아일랜드,2021-01-06,1
6,헬로키티아일랜드,2021-01-07,3
7,헬로키티아일랜드,2021-01-08,3
8,헬로키티아일랜드,2021-01-09,2
9,헬로키티아일랜드,2021-01-10,1
10,헬로키티아일랜드,2021-01-11,1
11,헬로키티아일랜드,2021-01-12,4
12,헬로키티아일랜드,2021-01-13,1
13,헬로키티아일랜드,2021-01-14,2
14,헬로키티아일랜드,2021-01-15,3
15,헬로키티아일랜드,2021-01-16,0
16,헬로키티아일랜드,2021-01-17,4
17,헬로키티아일랜드,2021-01-18,3
18,헬로키티아일랜드,2021-01-19,2
19,헬로키티아일랜드,2021-01-20,0
20,헬로키티아일랜드,2021-01-21,2
21,헬로키티아일랜드,2021-01-22,3
22,헬로키티아일랜드,2021-01-23,0
23,헬로키티아일랜드,2021-01-24,2
24,헬로키티아일랜드,2021-01-25,0
25,헬로키티아일랜드,2021-01-26,1
26,헬로키티아일랜드,2021-01-27,3
27,헬로키티아일랜드,2021-01-28,2
28,헬로키티아일랜드,2021-01-29,4
29,헬로키티아일랜드,2021-01-30,5
30,헬로키티아일랜드,2021-01-31,2
31,헬로키티아일랜드,2021-02-01,3
32,헬로키티아일랜드,2021-02-02,2
33,헬로키티아일랜드,2021-02-03,2
34,헬로키티아일랜드,2021-02-04,0
35,헬로키티아일랜드,2021-02-05,1
36,헬로키티아일랜드,2021-02-06,3
37,헬로키티아일랜드,2021-02-07,5
38,헬로키티아일랜드,2021-02-08,0
39,헬로키티아일랜드,2021-02-09,0
40,헬로키티아일랜드,2021-02-10,2
41,헬로키티아일랜드,2021-02-11,0
42,헬로키티아일랜드,2021-02-12,1
43,헬로키티아일랜드,2021-02-13,0
44,헬로키티아일랜드,2021-02-14,1
45,헬로키티아일랜드,2021-02-15,1
46,헬로키티아일랜드,2021-02-16,2
47,헬로키티아일랜드,2021-02-17,4
48,헬로키티아일랜드,2021-02-18,9
49,헬로키티아일랜드,2021-02-19,3
50,헬로키티아일랜드,2021-02-20,1
51,헬로키티아일랜드,2021-02-21,6
52,헬로키티아일랜드,2021-02-22,3
53,헬로키티아일랜드,2021-02-23,3
54,헬로키티아일랜드,2021-02-24,4
55,헬로키티아일랜드,2021-02-25,2
56,헬로키티아일랜드,2021-02-26,0
