,관광지,날짜,버즈량
0,협재해수욕장,2021-01-01,37
1,협재해수욕장,2021-01-02,47
2,협재해수욕장,2021-01-03,51
3,협재해수욕장,2021-01-04,53
4,협재해수욕장,2021-01-05,49
5,협재해수욕장,2021-01-06,44
6,협재해수욕장,2021-01-07,56
7,협재해수욕장,2021-01-08,52
8,협재해수욕장,2021-01-09,40
9,협재해수욕장,2021-01-10,42
10,협재해수욕장,2021-01-11,45
11,협재해수욕장,2021-01-12,36
12,협재해수욕장,2021-01-13,63
13,협재해수욕장,2021-01-14,57
14,협재해수욕장,2021-01-15,44
15,협재해수욕장,2021-01-16,36
16,협재해수욕장,2021-01-17,28
17,협재해수욕장,2021-01-18,50
18,협재해수욕장,2021-01-19,34
19,협재해수욕장,2021-01-20,55
20,협재해수욕장,2021-01-21,48
21,협재해수욕장,2021-01-22,39
22,협재해수욕장,2021-01-23,42
23,협재해수욕장,2021-01-24,50
24,협재해수욕장,2021-01-25,48
25,협재해수욕장,2021-01-26,50
26,협재해수욕장,2021-01-27,53
27,협재해수욕장,2021-01-28,37
28,협재해수욕장,2021-01-29,53
29,협재해수욕장,2021-01-30,41
30,협재해수욕장,2021-01-31,50
31,협재해수욕장,2021-02-01,47
32,협재해수욕장,2021-02-02,59
33,협재해수욕장,2021-02-03,51
34,협재해수욕장,2021-02-04,46
35,협재해수욕장,2021-02-05,54
36,협재해수욕장,2021-02-06,38
37,협재해수욕장,2021-02-07,50
38,협재해수욕장,2021-02-08,55
39,협재해수욕장,2021-02-09,64
40,협재해수욕장,2021-02-10,47
41,협재해수욕장,2021-02-11,51
42,협재해수욕장,2021-02-12,41
43,협재해수욕장,2021-02-13,50
44,협재해수욕장,2021-02-14,50
45,협재해수욕장,2021-02-15,58
46,협재해수욕장,2021-02-16,51
47,협재해수욕장,2021-02-17,56
48,협재해수욕장,2021-02-18,75
49,협재해수욕장,2021-02-19,63
50,협재해수욕장,2021-02-20,60
51,협재해수욕장,2021-02-21,47
52,협재해수욕장,2021-02-22,74
53,협재해수욕장,2021-02-23,62
54,협재해수욕장,2021-02-24,104
55,협재해수욕장,2021-02-25,65
56,협재해수욕장,2021-02-26,66
57,협재해수욕장,2021-02-27,57
58,협재해수욕장,2021-02-28,52
59,협재해수욕장,2021-03-01,54
60,협재해수욕장,2021-03-02,75
61,협재해수욕장,2021-03-03,59
62,협재해수욕장,2021-03-04,68
63,협재해수욕장,2021-03-05,68
64,협재해수욕장,2021-03-06,48
65,협재해수욕장,2021-03-07,50
66,협재해수욕장,2021-03-08,60
67,협재해수욕장,2021-03-09,66
68,협재해수욕장,2021-03-10,65
69,협재해수욕장,2021-03-11,58
70,협재해수욕장,2021-03-12,78
71,협재해수욕장,2021-03-13,58
72,협재해수욕장,2021-03-14,59
73,협재해수욕장,2021-03-15,65
74,협재해수욕장,2021-03-16,74
75,협재해수욕장,2021-03-17,67
76,협재해수욕장,2021-03-18,68
77,협재해수욕장,2021-03-19,90
78,협재해수욕장,2021-03-20,58
79,협재해수욕장,2021-03-21,70
80,협재해수욕장,2021-03-22,80
81,협재해수욕장,2021-03-23,81
82,협재해수욕장,2021-03-24,90
83,협재해수욕장,2021-03-25,73
84,협재해수욕장,2021-03-26,85
85,협재해수욕장,2021-03-27,82
86,협재해수욕장,2021-03-28,65
87,협재해수욕장,2021-03-29,81
88,협재해수욕장,2021-03-30,51
89,협재해수욕장,2021-03-31,76
90,협재해수욕장,2021-04-01,85
91,협재해수욕장,2021-04-02,64
92,협재해수욕장,2021-04-03,55
93,협재해수욕장,2021-04-04,70
94,협재해수욕장,2021-04-05,61
95,협재해수욕장,2021-04-06,86
96,협재해수욕장,2021-04-07,96
97,협재해수욕장,2021-04-08,77
98,협재해수욕장,2021-04-09,64
99,협재해수욕장,2021-04-10,67
100,협재해수욕장,2021-04-11,62
101,협재해수욕장,2021-04-12,74
102,협재해수욕장,2021-04-13,111
103,협재해수욕장,2021-04-14,102
104,협재해수욕장,2021-04-15,105
105,협재해수욕장,2021-04-16,105
106,협재해수욕장,2021-04-17,79
107,협재해수욕장,2021-04-18,96
108,협재해수욕장,2021-04-19,137
109,협재해수욕장,2021-04-20,103
110,협재해수욕장,2021-04-21,136
111,협재해수욕장,2021-04-22,129
112,협재해수욕장,2021-04-23,123
113,협재해수욕장,2021-04-24,93
114,협재해수욕장,2021-04-25,104
115,협재해수욕장,2021-04-26,110
116,협재해수욕장,2021-04-27,102
117,협재해수욕장,2021-04-28,110
118,협재해수욕장,2021-04-29,129
119,협재해수욕장,2021-04-30,107
120,협재해수욕장,2021-05-01,114
121,협재해수욕장,2021-05-02,114
122,협재해수욕장,2021-05-03,135
123,협재해수욕장,2021-05-04,94
124,협재해수욕장,2021-05-05,93
125,협재해수욕장,2021-05-06,120
126,협재해수욕장,2021-05-07,102
127,협재해수욕장,2021-05-08,97
128,협재해수욕장,2021-05-09,86
129,협재해수욕장,2021-05-10,106
130,협재해수욕장,2021-05-11,100
131,협재해수욕장,2021-05-12,102
132,협재해수욕장,2021-05-13,103
133,협재해수욕장,2021-05-14,85
134,협재해수욕장,2021-05-15,86
135,협재해수욕장,2021-05-16,83
136,협재해수욕장,2021-05-17,97
137,협재해수욕장,2021-05-18,75
138,협재해수욕장,2021-05-19,82
139,협재해수욕장,2021-05-20,109
140,협재해수욕장,2021-05-21,95
141,협재해수욕장,2021-05-22,97
142,협재해수욕장,2021-05-23,87
143,협재해수욕장,2021-05-24,105
144,협재해수욕장,2021-05-25,116
145,협재해수욕장,2021-05-26,139
146,협재해수욕장,2021-05-27,116
147,협재해수욕장,2021-05-28,129
148,협재해수욕장,2021-05-29,85
149,협재해수욕장,2021-05-30,105
150,협재해수욕장,2021-05-31,130
151,협재해수욕장,2021-06-01,122
152,협재해수욕장,2021-06-02,120
153,협재해수욕장,2021-06-03,131
154,협재해수욕장,2021-06-04,95
155,협재해수욕장,2021-06-05,83
156,협재해수욕장,2021-06-06,87
157,협재해수욕장,2021-06-07,135
158,협재해수욕장,2021-06-08,106
159,협재해수욕장,2021-06-09,117
160,협재해수욕장,2021-06-10,92
161,협재해수욕장,2021-06-11,110
162,협재해수욕장,2021-06-12,88
163,협재해수욕장,2021-06-13,89
164,협재해수욕장,2021-06-14,113
165,협재해수욕장,2021-06-15,120
166,협재해수욕장,2021-06-16,130
167,협재해수욕장,2021-06-17,127
168,협재해수욕장,2021-06-18,118
169,협재해수욕장,2021-06-19,78
170,협재해수욕장,2021-06-20,94
171,협재해수욕장,2021-06-21,117
172,협재해수욕장,2021-06-22,151
173,협재해수욕장,2021-06-23,132
174,협재해수욕장,2021-06-24,144
175,협재해수욕장,2021-06-25,129
176,협재해수욕장,2021-06-26,111
177,협재해수욕장,2021-06-27,103
178,협재해수욕장,2021-06-28,139
179,협재해수욕장,2021-06-29,161
180,협재해수욕장,2021-06-30,158
181,협재해수욕장,2021-07-01,131
182,협재해수욕장,2021-07-02,173
183,협재해수욕장,2021-07-03,109
184,협재해수욕장,2021-07-04,112
185,협재해수욕장,2021-07-05,119
186,협재해수욕장,2021-07-06,167
187,협재해수욕장,2021-07-07,130
188,협재해수욕장,2021-07-08,123
189,협재해수욕장,2021-07-09,116
190,협재해수욕장,2021-07-10,119
191,협재해수욕장,2021-07-11,113
192,협재해수욕장,2021-07-12,115
193,협재해수욕장,2021-07-13,122
194,협재해수욕장,2021-07-14,133
195,협재해수욕장,2021-07-15,133
196,협재해수욕장,2021-07-16,118
197,협재해수욕장,2021-07-17,103
198,협재해수욕장,2021-07-18,122
199,협재해수욕장,2021-07-19,163
200,협재해수욕장,2021-07-20,153
201,협재해수욕장,2021-07-21,124
202,협재해수욕장,2021-07-22,129
203,협재해수욕장,2021-07-23,123
204,협재해수욕장,2021-07-24,105
205,협재해수욕장,2021-07-25,114
206,협재해수욕장,2021-07-26,150
207,협재해수욕장,2021-07-27,144
208,협재해수욕장,2021-07-28,120
209,협재해수욕장,2021-07-29,107
210,협재해수욕장,2021-07-30,112
211,협재해수욕장,2021-07-31,95
212,협재해수욕장,2021-08-01,112
