,관광지,날짜,버즈량
0,혼인지,2021-01-01,2
1,혼인지,2021-01-02,1
2,혼인지,2021-01-03,4
3,혼인지,2021-01-04,3
4,혼인지,2021-01-05,2
5,혼인지,2021-01-06,4
6,혼인지,2021-01-07,3
7,혼인지,2021-01-08,3
8,혼인지,2021-01-09,5
9,혼인지,2021-01-10,4
10,혼인지,2021-01-11,5
11,혼인지,2021-01-12,1
12,혼인지,2021-01-13,6
13,혼인지,2021-01-14,3
14,혼인지,2021-01-15,2
15,혼인지,2021-01-16,4
16,혼인지,2021-01-17,5
17,혼인지,2021-01-18,4
18,혼인지,2021-01-19,4
19,혼인지,2021-01-20,1
20,혼인지,2021-01-21,4
21,혼인지,2021-01-22,2
22,혼인지,2021-01-23,3
23,혼인지,2021-01-24,1
24,혼인지,2021-01-25,3
25,혼인지,2021-01-26,0
26,혼인지,2021-01-27,2
27,혼인지,2021-01-28,2
28,혼인지,2021-01-29,4
29,혼인지,2021-01-30,1
30,혼인지,2021-01-31,3
31,혼인지,2021-02-01,0
32,혼인지,2021-02-02,0
33,혼인지,2021-02-03,1
34,혼인지,2021-02-04,3
35,혼인지,2021-02-05,2
36,혼인지,2021-02-06,2
37,혼인지,2021-02-07,2
38,혼인지,2021-02-08,3
39,혼인지,2021-02-09,3
40,혼인지,2021-02-10,3
41,혼인지,2021-02-11,4
42,혼인지,2021-02-12,2
43,혼인지,2021-02-13,0
44,혼인지,2021-02-14,1
45,혼인지,2021-02-15,0
46,혼인지,2021-02-16,2
47,혼인지,2021-02-17,1
48,혼인지,2021-02-18,1
49,혼인지,2021-02-19,4
50,혼인지,2021-02-20,2
51,혼인지,2021-02-21,4
52,혼인지,2021-02-22,3
53,혼인지,2021-02-23,2
54,혼인지,2021-02-24,3
55,혼인지,2021-02-25,5
56,혼인지,2021-02-26,2
57,혼인지,2021-02-27,2
58,혼인지,2021-02-28,2
59,혼인지,2021-03-01,1
60,혼인지,2021-03-02,0
61,혼인지,2021-03-03,4
62,혼인지,2021-03-04,1
63,혼인지,2021-03-05,2
64,혼인지,2021-03-06,1
65,혼인지,2021-03-07,2
66,혼인지,2021-03-08,4
67,혼인지,2021-03-09,2
