,관광지,날짜,버즈량
0,황우지해안,2021-01-01,7
1,황우지해안,2021-01-02,5
2,황우지해안,2021-01-03,7
3,황우지해안,2021-01-04,4
4,황우지해안,2021-01-05,8
5,황우지해안,2021-01-06,9
6,황우지해안,2021-01-07,7
7,황우지해안,2021-01-08,5
8,황우지해안,2021-01-09,3
9,황우지해안,2021-01-10,5
10,황우지해안,2021-01-11,2
11,황우지해안,2021-01-12,5
12,황우지해안,2021-01-13,3
13,황우지해안,2021-01-14,9
14,황우지해안,2021-01-15,2
15,황우지해안,2021-01-16,6
16,황우지해안,2021-01-17,6
17,황우지해안,2021-01-18,2
18,황우지해안,2021-01-19,4
19,황우지해안,2021-01-20,7
20,황우지해안,2021-01-21,8
21,황우지해안,2021-01-22,5
22,황우지해안,2021-01-23,6
23,황우지해안,2021-01-24,4
24,황우지해안,2021-01-25,7
25,황우지해안,2021-01-26,1
26,황우지해안,2021-01-27,2
27,황우지해안,2021-01-28,8
28,황우지해안,2021-01-29,4
29,황우지해안,2021-01-30,4
30,황우지해안,2021-01-31,6
31,황우지해안,2021-02-01,5
32,황우지해안,2021-02-02,9
33,황우지해안,2021-02-03,8
34,황우지해안,2021-02-04,6
35,황우지해안,2021-02-05,8
36,황우지해안,2021-02-06,8
37,황우지해안,2021-02-07,3
38,황우지해안,2021-02-08,2
39,황우지해안,2021-02-09,5
40,황우지해안,2021-02-10,6
41,황우지해안,2021-02-11,6
42,황우지해안,2021-02-12,3
43,황우지해안,2021-02-13,4
44,황우지해안,2021-02-14,7
45,황우지해안,2021-02-15,7
46,황우지해안,2021-02-16,5
47,황우지해안,2021-02-17,3
48,황우지해안,2021-02-18,9
49,황우지해안,2021-02-19,5
50,황우지해안,2021-02-20,3
51,황우지해안,2021-02-21,2
52,황우지해안,2021-02-22,7
53,황우지해안,2021-02-23,9
54,황우지해안,2021-02-24,9
55,황우지해안,2021-02-25,8
56,황우지해안,2021-02-26,10
57,황우지해안,2021-02-27,6
58,황우지해안,2021-02-28,5
59,황우지해안,2021-03-01,3
60,황우지해안,2021-03-02,6
61,황우지해안,2021-03-03,5
62,황우지해안,2021-03-04,6
63,황우지해안,2021-03-05,0
64,황우지해안,2021-03-06,4
65,황우지해안,2021-03-07,6
66,황우지해안,2021-03-08,5
67,황우지해안,2021-03-09,4
68,황우지해안,2021-03-10,4
69,황우지해안,2021-03-11,11
70,황우지해안,2021-03-12,6
71,황우지해안,2021-03-13,3
72,황우지해안,2021-03-14,5
73,황우지해안,2021-03-15,8
74,황우지해안,2021-03-16,9
75,황우지해안,2021-03-17,6
76,황우지해안,2021-03-18,13
77,황우지해안,2021-03-19,30
78,황우지해안,2021-03-20,14
79,황우지해안,2021-03-21,14
80,황우지해안,2021-03-22,15
81,황우지해안,2021-03-23,16
82,황우지해안,2021-03-24,23
83,황우지해안,2021-03-25,19
84,황우지해안,2021-03-26,16
85,황우지해안,2021-03-27,9
86,황우지해안,2021-03-28,7
87,황우지해안,2021-03-29,8
88,황우지해안,2021-03-30,8
89,황우지해안,2021-03-31,5
90,황우지해안,2021-04-01,5
91,황우지해안,2021-04-02,4
92,황우지해안,2021-04-03,5
93,황우지해안,2021-04-04,7
94,황우지해안,2021-04-05,6
95,황우지해안,2021-04-06,4
96,황우지해안,2021-04-07,14
97,황우지해안,2021-04-08,12
98,황우지해안,2021-04-09,14
99,황우지해안,2021-04-10,20
100,황우지해안,2021-04-11,8
101,황우지해안,2021-04-12,22
102,황우지해안,2021-04-13,22
103,황우지해안,2021-04-14,13
104,황우지해안,2021-04-15,21
105,황우지해안,2021-04-16,16
106,황우지해안,2021-04-17,13
