,관광지,날짜,버즈량
0,휴애리자연생활공원,2021-01-01,8
1,휴애리자연생활공원,2021-01-02,3
2,휴애리자연생활공원,2021-01-03,2
3,휴애리자연생활공원,2021-01-04,2
4,휴애리자연생활공원,2021-01-05,3
5,휴애리자연생활공원,2021-01-06,2
6,휴애리자연생활공원,2021-01-07,5
7,휴애리자연생활공원,2021-01-08,2
8,휴애리자연생활공원,2021-01-09,6
9,휴애리자연생활공원,2021-01-10,1
10,휴애리자연생활공원,2021-01-11,4
11,휴애리자연생활공원,2021-01-12,1
12,휴애리자연생활공원,2021-01-13,3
13,휴애리자연생활공원,2021-01-14,5
14,휴애리자연생활공원,2021-01-15,1
15,휴애리자연생활공원,2021-01-16,3
16,휴애리자연생활공원,2021-01-17,0
17,휴애리자연생활공원,2021-01-18,3
18,휴애리자연생활공원,2021-01-19,2
19,휴애리자연생활공원,2021-01-20,2
20,휴애리자연생활공원,2021-01-21,4
21,휴애리자연생활공원,2021-01-22,3
22,휴애리자연생활공원,2021-01-23,2
23,휴애리자연생활공원,2021-01-24,3
24,휴애리자연생활공원,2021-01-25,3
25,휴애리자연생활공원,2021-01-26,5
26,휴애리자연생활공원,2021-01-27,2
27,휴애리자연생활공원,2021-01-28,2
28,휴애리자연생활공원,2021-01-29,5
29,휴애리자연생활공원,2021-01-30,1
30,휴애리자연생활공원,2021-01-31,0
31,휴애리자연생활공원,2021-02-01,2
32,휴애리자연생활공원,2021-02-02,0
33,휴애리자연생활공원,2021-02-03,2
34,휴애리자연생활공원,2021-02-04,1
35,휴애리자연생활공원,2021-02-05,2
36,휴애리자연생활공원,2021-02-06,3
37,휴애리자연생활공원,2021-02-07,3
38,휴애리자연생활공원,2021-02-08,3
39,휴애리자연생활공원,2021-02-09,3
40,휴애리자연생활공원,2021-02-10,1
41,휴애리자연생활공원,2021-02-11,5
42,휴애리자연생활공원,2021-02-12,1
43,휴애리자연생활공원,2021-02-13,3
44,휴애리자연생활공원,2021-02-14,6
45,휴애리자연생활공원,2021-02-15,2
46,휴애리자연생활공원,2021-02-16,1
47,휴애리자연생활공원,2021-02-17,3
48,휴애리자연생활공원,2021-02-18,8
49,휴애리자연생활공원,2021-02-19,12
50,휴애리자연생활공원,2021-02-20,3
51,휴애리자연생활공원,2021-02-21,6
52,휴애리자연생활공원,2021-02-22,4
53,휴애리자연생활공원,2021-02-23,4
54,휴애리자연생활공원,2021-02-24,3
55,휴애리자연생활공원,2021-02-25,6
56,휴애리자연생활공원,2021-02-26,5
57,휴애리자연생활공원,2021-02-27,5
58,휴애리자연생활공원,2021-02-28,6
59,휴애리자연생활공원,2021-03-01,2
60,휴애리자연생활공원,2021-03-02,7
61,휴애리자연생활공원,2021-03-03,5
62,휴애리자연생활공원,2021-03-04,8
63,휴애리자연생활공원,2021-03-05,3
64,휴애리자연생활공원,2021-03-06,2
65,휴애리자연생활공원,2021-03-07,3
66,휴애리자연생활공원,2021-03-08,4
67,휴애리자연생활공원,2021-03-09,4
68,휴애리자연생활공원,2021-03-10,5
69,휴애리자연생활공원,2021-03-11,4
70,휴애리자연생활공원,2021-03-12,3
71,휴애리자연생활공원,2021-03-13,3
72,휴애리자연생활공원,2021-03-14,2
73,휴애리자연생활공원,2021-03-15,4
74,휴애리자연생활공원,2021-03-16,0
75,휴애리자연생활공원,2021-03-17,3
76,휴애리자연생활공원,2021-03-18,0
77,휴애리자연생활공원,2021-03-19,2
78,휴애리자연생활공원,2021-03-20,1
