poi,date,social_buzz,day,holiday,minimum temperature(°C),maximum temperature(°C),humidity(%),precip_prob(%),precip_type,num_of_search
비자림,2021-01-01,27,1,1,-1,5,75,30,0,330
비자림,2021-01-02,38,2,0,0,4,75,30,0,222
비자림,2021-01-03,34,2,0,3,7,75,30,0,399
비자림,2021-01-04,32,0,0,-1,5,75,0,0,232
비자림,2021-01-05,34,0,0,-4,2,75,30,0,115
비자림,2021-01-06,36,0,0,-5,-3,65,30,0,370
비자림,2021-01-07,32,0,0,-4,-3,85,90,3,158
비자림,2021-01-08,30,1,0,-1,-1,85,90,3,71
비자림,2021-01-09,39,2,0,0,2,80,80,3,285
비자림,2021-01-10,29,2,0,0,2,75,30,0,169
비자림,2021-01-11,43,0,0,2,4,90,80,3,471
비자림,2021-01-12,28,0,0,3,9,70,30,0,248
비자림,2021-01-13,38,0,0,6,10,75,0,0,375
비자림,2021-01-14,39,0,0,1,12,80,0,0,107
비자림,2021-01-15,50,1,0,-1,2,80,20,0,167
비자림,2021-01-16,25,2,0,0,1,75,30,0,225
비자림,2021-01-17,27,2,0,-2,6,65,30,0,286
비자림,2021-01-18,28,0,0,0,3,55,0,0,383
비자림,2021-01-19,32,0,0,6,10,65,0,0,342
비자림,2021-01-20,23,0,0,9,15,80,20,0,238
비자림,2021-01-21,33,0,0,9,12,85,30,0,271
비자림,2021-01-22,24,1,0,7,12,95,20,0,138
비자림,2021-01-23,20,2,0,6,10,90,80,1,167
비자림,2021-01-24,21,2,0,9,13,70,20,0,339
비자림,2021-01-25,32,0,0,2,11,75,20,0,328
비자림,2021-01-26,22,0,0,2,7,85,60,1,334
비자림,2021-01-27,19,0,0,-2,8,55,10,0,292
비자림,2021-01-28,38,0,0,-1,2,60,60,1,331
비자림,2021-01-29,35,1,0,3,9,70,30,0,270
비자림,2021-01-30,24,2,0,10,12,75,0,0,222
비자림,2021-01-31,25,2,0,1,12,70,30,0,321
비자림,2021-02-01,32,0,0,-1,1,85,80,1,38
비자림,2021-02-02,46,0,0,4,7,70,20,0,370
비자림,2021-02-03,33,0,0,0,5,70,0,0,279
비자림,2021-02-04,33,0,0,5,10,70,20,0,243
비자림,2021-02-05,50,1,0,5,14,75,30,0,283
비자림,2021-02-06,29,2,0,0,11,75,0,0,172
비자림,2021-02-07,37,2,0,0,3,75,0,0,357
비자림,2021-02-08,30,0,0,0,5,65,10,0,178
비자림,2021-02-09,36,0,0,3,10,70,0,0,193
비자림,2021-02-10,26,0,0,5,11,70,20,0,399
비자림,2021-02-11,36,0,1,6,13,75,20,0,271
비자림,2021-02-12,20,1,1,7,15,75,30,0,354
비자림,2021-02-13,27,2,1,7,16,75,0,0,406
비자림,2021-02-14,31,2,0,0,8,90,70,1,192
비자림,2021-02-15,32,0,0,-2,7,65,20,0,367
